College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,Salary
CLG0030,107,6.61,6.28,8,No,8,8,4,No,534406.7943948535
CLG0061,97,5.52,5.37,8,No,7,8,0,No,469641.2015924488
CLG0036,109,5.36,5.83,9,No,3,1,1,No,505432.7800536365
CLG0055,122,5.47,5.75,6,Yes,1,6,1,No,538415.2195231488
CLG0004,96,7.91,7.69,7,No,8,10,2,No,571886.5250487613
CLG0015,96,5.26,5.32,7,No,5,8,0,No,453506.55990606744
CLG0071,123,6.68,6.58,5,No,7,8,2,Yes,582064.6669536369
CLG0096,111,8.77,8.76,7,No,3,1,2,Yes,644968.4229517799
CLG0097,92,6.47,6.33,9,No,7,8,5,No,486595.52776724286
CLG0057,108,8.82,8.6,4,No,5,9,1,No,645011.5679985955
CLG0063,93,8.73,8.9,2,Yes,5,6,0,No,633876.2373658554
CLG0077,93,6.23,6.51,8,No,5,7,4,No,506508.2993317896
CLG0064,103,8.64,9.01,7,Yes,8,6,1,No,657167.7175875546
CLG0017,71,8.74,8.4,6,No,0,5,2,No,559732.6778471969
CLG0053,74,6.99,7.31,7,No,0,1,2,No,518623.69890911103
CLG0040,91,6.05,5.8,3,No,4,2,3,No,474178.38171028753
CLG0070,84,7.61,7.54,6,No,0,10,0,No,573177.9382577158
CLG0050,104,9.61,10.01,10,Yes,9,2,4,No,716774.4686209509
CLG0068,86,8.2,8.15,7,No,8,9,4,Yes,570794.6621447228
CLG0015,78,5.86,5.56,7,Yes,3,6,2,No,420664.1043763906
CLG0072,121,8.41,8.07,5,Yes,1,3,3,Yes,649797.948483176
CLG0034,96,7.14,7.11,3,Yes,2,3,3,No,533990.152148289
CLG0030,101,7.96,8.22,2,Yes,8,10,0,No,609182.3215699355
CLG0087,78,8.67,9.17,7,Yes,10,10,2,Yes,605802.1504677681
CLG0073,91,7.57,7.86,4,Yes,7,2,2,No,564679.9068287852
CLG0024,101,9.07,9.45,2,No,2,7,2,No,690800.9465059941
CLG0008,82,8.61,8.86,8,No,7,1,0,No,611688.8365007481
CLG0057,105,8.08,8.48,2,No,3,1,4,No,640997.6649201924
CLG0070,90,5.75,5.33,6,Yes,5,10,1,No,437461.1144376983
CLG0025,95,9.18,9.61,4,Yes,3,3,3,No,677586.1378134869
CLG0077,90,9.68,9.58,9,Yes,10,1,4,No,656624.8407298841
CLG0034,127,5.68,6.1,5,No,4,3,1,No,553898.3507940066
CLG0025,99,7.44,7.02,4,No,9,9,4,No,540651.7407359277
CLG0018,84,6.29,6.51,8,No,8,7,4,No,477478.38397410203
CLG0073,112,8.77,9.01,3,Yes,1,9,4,Yes,687928.9700229843
CLG0097,81,8.61,9.11,9,Yes,8,7,4,No,603729.469976108
CLG0070,103,5.7,5.97,8,Yes,2,9,2,No,518693.87460103974
CLG0014,70,9.39,9.27,8,No,4,3,4,No,600143.985841695
CLG0006,80,5.9,5.96,10,Yes,6,7,1,No,471423.4249362239
CLG0082,102,8.99,8.86,5,No,1,6,1,No,652268.3692073661
CLG0090,111,7.28,6.98,1,No,3,2,3,No,566406.0890596719
CLG0036,102,6.64,6.39,10,No,0,6,5,No,527626.3034031802
CLG0036,98,5.79,5.51,9,No,10,3,0,No,476247.062152464
CLG0075,95,5.84,5.89,2,Yes,2,2,1,No,484784.24207797565
CLG0018,77,8.31,8.72,1,Yes,5,5,1,No,593202.170813896
CLG0015,89,7.75,8.16,6,Yes,1,5,1,No,573115.4955858005
